2024-08-07 11:00:52 INFO  org.hibernate.Version - HHH000412: Hibernate ORM core version 5.6.15.Final
2024-08-07 11:00:53 INFO  org.hibernate.annotations.common.Version - HCANN000001: Hibernate Commons Annotations {5.1.2.Final}
2024-08-07 11:00:53 WARN  org.hibernate.orm.connections.pooling - HHH10001002: Using Hibernate built-in connection pool (not for production use!)
2024-08-07 11:00:53 INFO  org.hibernate.orm.connections.pooling - HHH10001005: using driver [com.mysql.cj.jdbc.Driver] at URL [jdbc:mysql://localhost:3306/employee_management]
2024-08-07 11:00:53 INFO  org.hibernate.orm.connections.pooling - HHH10001001: Connection properties: {user=root}
2024-08-07 11:00:53 INFO  org.hibernate.orm.connections.pooling - HHH10001003: Autocommit mode: false
2024-08-07 11:00:53 INFO  org.hibernate.engine.jdbc.connections.internal.DriverManagerConnectionProviderImpl - HHH000115: Hibernate connection pool size: 20 (min=1)
2024-08-07 11:00:54 INFO  org.hibernate.dialect.Dialect - HHH000400: Using dialect: org.hibernate.dialect.MySQL8Dialect
2024-08-07 11:00:55 INFO  org.hibernate.orm.connections.access - HHH10001501: Connection obtained from JdbcConnectionAccess [org.hibernate.engine.jdbc.env.internal.JdbcEnvironmentInitiator$ConnectionProviderJdbcConnectionAccess@65634e76] for (non-JTA) DDL execution was not in auto-commit mode; the Connection 'local transaction' will be committed and the Connection will be set into auto-commit mode.
2024-08-07 11:00:55 INFO  org.hibernate.engine.transaction.jta.platform.internal.JtaPlatformInitiator - HHH000490: Using JtaPlatform implementation: [org.hibernate.engine.transaction.jta.platform.internal.NoJtaPlatform]
2024-08-07 11:00:56 INFO  com.ideas2it.ems.controller.EmployeeController - All employees are displayed.
